"","MAP_hist","PPT_at_hist","PPT_wt_hist","PPT_sp_hist","PPT_sm_hist","MAP_exp","PPT_at_exp","PPT_wt_exp","PPT_sp_exp","PPT_sm_exp"
"MAP_hist",1,0.996534082064072,0.995634178660987,0.991086585628007,0.916456476281805,0.986949948965236,0.979573273112684,0.980100489871282,0.964054344648503,0.134801961262151
"PPT_at_hist",0.996534082064072,1,0.999083794344172,0.985349365814176,0.884641197683949,0.987370505532512,0.982726730104193,0.981659117706643,0.968711271017309,0.101616835779022
"PPT_wt_hist",0.995634178660987,0.999083794344172,1,0.982105851263229,0.883206089170439,0.985474585724046,0.982961987278694,0.979421233377597,0.962447332597928,0.114149385465652
"PPT_sp_hist",0.991086585628007,0.985349365814176,0.982105851263229,1,0.894789257950098,0.982736232622638,0.967634039338314,0.980298142197709,0.978229906177463,0.0515880488687902
"PPT_sm_hist",0.916456476281805,0.884641197683949,0.883206089170439,0.894789257950098,1,0.88236975124966,0.871115470302129,0.864687707072896,0.821037416433131,0.384460916815247
"MAP_exp",0.986949948965236,0.987370505532512,0.985474585724046,0.982736232622638,0.88236975124966,1,0.984135950955151,0.998623338974717,0.984313760782375,0.112721685506264
"PPT_at_exp",0.979573273112684,0.982726730104193,0.982961987278694,0.967634039338314,0.871115470302129,0.984135950955151,1,0.978162792677658,0.954019928088256,0.0438824523456091
"PPT_wt_exp",0.980100489871282,0.981659117706643,0.979421233377597,0.980298142197709,0.864687707072896,0.998623338974717,0.978162792677658,1,0.988508317796974,0.0924867308385675
"PPT_sp_exp",0.964054344648503,0.968711271017309,0.962447332597928,0.978229906177463,0.821037416433131,0.984313760782375,0.954019928088256,0.988508317796974,1,0.00696726326557591
"PPT_sm_exp",0.134801961262151,0.101616835779022,0.114149385465652,0.0515880488687902,0.384460916815247,0.112721685506264,0.0438824523456091,0.0924867308385675,0.00696726326557591,1
