"","MAT_hist","Tfal_hist","Twin_hist","Tspr_hist","Tsum_hist","MAT_exp","Tfal_exp","Twin_exp","Tspr_exp","Tsum_exp"
"MAT_hist",1,0.970947723976766,0.687155520572551,0.857023410853907,0.724206168721227,0.712311320138026,0.701918667305114,0.601579186937088,0.275142790373067,0.246207374605203
"Tfal_hist",0.970947723976766,1,0.8302556408259,0.729875995189038,0.541245922657459,0.679612896529451,0.746046657418335,0.736405633772989,0.0547925845257189,0.0514044107858513
"Twin_hist",0.687155520572551,0.8302556408259,1,0.22653832868637,0.00540881061945994,0.618072929773679,0.821499391480255,0.954275262654671,-0.37598476499341,-0.240903233262366
"Tspr_hist",0.857023410853907,0.729875995189038,0.22653832868637,1,0.943072635853627,0.438587627740906,0.301998949057759,0.114992445360265,0.568254859345441,0.400289174320946
"Tsum_hist",0.724206168721227,0.541245922657459,0.00540881061945994,0.943072635853627,1,0.475648833575146,0.25655785191207,-0.0404181674356172,0.777965346510186,0.647267585649872
"MAT_exp",0.712311320138026,0.679612896529451,0.618072929773679,0.438587627740906,0.475648833575146,1,0.945196230891426,0.712504970053047,0.396007079070358,0.589673078727436
"Tfal_exp",0.701918667305114,0.746046657418335,0.821499391480255,0.301998949057759,0.25655785191207,0.945196230891426,1,0.900774653047221,0.079078422872478,0.300132078299382
"Twin_exp",0.601579186937088,0.736405633772989,0.954275262654671,0.114992445360265,-0.0404181674356172,0.712504970053047,0.900774653047221,1,-0.346421567866358,-0.14176814357882
"Tspr_exp",0.275142790373067,0.0547925845257189,-0.37598476499341,0.568254859345441,0.777965346510186,0.396007079070358,0.079078422872478,-0.346421567866358,1,0.931577821442933
"Tsum_exp",0.246207374605203,0.0514044107858513,-0.240903233262366,0.400289174320946,0.647267585649872,0.589673078727436,0.300132078299382,-0.14176814357882,0.931577821442933,1
